Unnamed: 0,index,user_id,emoji_sentence,char_count,cluster,sentence,gender_labels,sentiment_labels,emotion_labels,age_labels,stance_labels,is_duplicate,predicted_emojis,predicted_sentence,gender_logits,sentiment_logits,emotion_logits,age_logits,stance_logits,real_emojis
18,120,4ec282dd04af4ea6d8e5488721d20f5d,"👍👍gorgeous little fella, let's hope he hates you and follows liverpool",70,8,"gorgeous little fella, let's hope he hates you and follows liverpool",male,negative,anger,teen,none,False,🐶😂🔴,"gorgeous little fella, let's hope he hates you and follows liverpool 🐶😂🔴",male,neutral,happiness,teen,none,👍👍
19,123,4ec282dd04af4ea6d8e5488721d20f5d,you made a right prick out of him there fred 👍👍👍,48,8,you made a right prick out of him there fred ,male,negative,anger,teen,none,True,😂👊💪,you made a right prick out of him there fred  😂👊💪,male,negative,happiness,teen,none,👍👍👍
20,141,fcfa4182357a1c989d49a508bc57bd4,"A great city yes: but ""greatest""? You gotta get out and visit a few more... 😉",77,8,"A great city yes: but ""greatest""? You gotta get out and visit a few more... ",female,neutral,disgust,adult,none,True,🗺️🚫🤔,"A great city yes: but ""greatest""? You gotta get out and visit a few more...  🗺️🚫🤔",male,neutral,disgust,adult,against,😉
21,142,a9d6aeea6330cd533c2f2f1b6e9d35e4,"white ppl: why aren't these radical muslims locked up 4 spewing hate speech
same white ppl: let the smartly dressed nazi talk 😕free speech!!",140,8,"white ppl: why aren't these radical muslims locked up 4 spewing hate speech
same white ppl: let the smartly dressed nazi talk free speech!!",female,negative,anger,teen,against,False,🙄🤦‍♂️🚫,"white ppl: why aren't these radical muslims locked up 4 spewing hate speech
same white ppl: let the smartly dressed nazi talk free speech!! 🙄🤦‍♂️🚫",female,negative,anger,adult,against,😕
22,147,1f670d70ce7dd2a345327ffa853b52cd,The photoshoot with me and the kangaroos as objects was much cuter before that huge male roo joined us. Talk about ripped! 😳😰,125,8,The photoshoot with me and the kangaroos as objects was much cuter before that huge male roo joined us. Talk about ripped! ,female,neutral,fear,teen,none,False,🦥😳💪,The photoshoot with me and the kangaroos as objects was much cuter before that huge male roo joined us. Talk about ripped!  🦥😳💪,female,neutral,surprise,teen,none,😳😰
23,155,1f670d70ce7dd2a345327ffa853b52cd,Pretty sure the current big thing on #TheBigTour is what feels like a THOUSAND GINORMOUS BEETLES 😫,98,8,Pretty sure the current big thing on #TheBigTour is what feels like a THOUSAND GINORMOUS BEETLES ,female,negative,disgust,teen,none,False,🐜🚨😱,Pretty sure the current big thing on #TheBigTour is what feels like a THOUSAND GINORMOUS BEETLES  🐜🚨😱,female,negative,fear,teen,none,😫
24,165,8bffb37f30c00e74502f4f7c1ab75e4f,that's actually disgusting floss i hope you're okay 💪❤️,55,8,that's actually disgusting floss i hope you're okay ,female,positive,disgust,teen,none,False,🤢🚽😷,that's actually disgusting floss i hope you're okay  🤢🚽😷,female,negative,disgust,teen,against,💪❤
25,170,8bffb37f30c00e74502f4f7c1ab75e4f,"nz hoping to be pest free by 2050, does this mean cats too - one of the biggest killers of native birds? #stopexcusingcats 🚫",124,8,"nz hoping to be pest free by 2050, does this mean cats too - one of the biggest killers of native birds? #stopexcusingcats ",female,negative,anger,adult,against,False,🐈🐦🚫,"nz hoping to be pest free by 2050, does this mean cats too - one of the biggest killers of native birds? #stopexcusingcats  🐈🐦🚫",female,negative,anger,adult,against,🚫
26,175,6a66052c3985e8f4c29aed0b34d46c2,so I'd heard but past experiences had been raisin free...til now 😷😷😷,68,8,so I'd heard but past experiences had been raisin free...til now ,female,negative,disgust,teen,none,False,🍇😳🤦,so I'd heard but past experiences had been raisin free...til now  🍇😳🤦,female,neutral,surprise,teen,none,😷😷😷
27,176,6a66052c3985e8f4c29aed0b34d46c2,When you get a coronation chicken sammich and it has raisins in it #spew 🤢🤢🤢,76,8,When you get a coronation chicken sammich and it has raisins in it #spew ,female,negative,disgust,teen,against,False,🤢🍞😷,When you get a coronation chicken sammich and it has raisins in it #spew  🤢🍞😷,female,negative,disgust,teen,against,🤢🤢🤢
28,183,6a66052c3985e8f4c29aed0b34d46c2,wth! Why would you send that?! 🤢🤢🤢🤢,35,8,wth! Why would you send that?! ,female,negative,disgust,teen,none,False,😱🤯😡,wth! Why would you send that?!  😱🤯😡,female,negative,anger,teen,none,🤢🤢🤢🤢
29,205,6a66052c3985e8f4c29aed0b34d46c2,"Hi, if I need a copy of a statement from 3-4 years back for a particular month how do I go about getting that? Thanks 😬",119,8,"Hi, if I need a copy of a statement from 3-4 years back for a particular month how do I go about getting that? Thanks ",female,neutral,fear,adult,none,True,📝📆📊,"Hi, if I need a copy of a statement from 3-4 years back for a particular month how do I go about getting that? Thanks  📝📆📊",female,neutral,neutral,adult,none,😬
30,206,6a66052c3985e8f4c29aed0b34d46c2,The irony that British Gas' mobile app download page isn't mobile friendly #Ux 🙄🙄,81,8,The irony that British Gas' mobile app download page isn't mobile friendly #Ux ,female,negative,disgust,adult,against,False,📱😒🚫,The irony that British Gas' mobile app download page isn't mobile friendly #Ux  📱😒🚫,female,negative,disgust,adult,none,🙄🙄
31,227,6a66052c3985e8f4c29aed0b34d46c2,Spent an interesting day user testing. Pretty insightful. Til the last guy started to pick his nose. And eat it. 😷😷😷😷,117,8,Spent an interesting day user testing. Pretty insightful. Til the last guy started to pick his nose. And eat it. ,female,negative,disgust,teen,none,False,🤯🤢🚽,Spent an interesting day user testing. Pretty insightful. Til the last guy started to pick his nose. And eat it.  🤯🤢🚽,female,negative,disgust,teen,none,😷😷😷😷
32,230,6a66052c3985e8f4c29aed0b34d46c2,the black kid is sooooo salty 🙄,31,8,the black kid is sooooo salty ,male,negative,disgust,teen,none,True,😒💔😤,the black kid is sooooo salty  😒💔😤,female,negative,sadness,teen,against,🙄
33,233,6a66052c3985e8f4c29aed0b34d46c2,is it still under warranty? Might be a hardware fault..get it seen to asap 👀,76,8,is it still under warranty? Might be a hardware fault..get it seen to asap ,female,neutral,fear,adult,none,False,📦💻🚨,is it still under warranty? Might be a hardware fault..get it seen to asap  📦💻🚨,female,neutral,fear,adult,none,👀
34,239,a7257678e00d456ac53471feb214dd0f,FEBRUARY 19TH?!?!?! ARE YOU KIDDING ME??!!! 😡😡😡😡😡😡😡,51,8,FEBRUARY 19TH?!?!?! ARE YOU KIDDING ME??!!! ,female,negative,anger,teen,none,True,😱🤯😡,FEBRUARY 19TH?!?!?! ARE YOU KIDDING ME??!!!  😱🤯😡,female,negative,anger,teen,none,😡😡😡😡😡😡😡
35,240,a7257678e00d456ac53471feb214dd0f,I see  have upped the price of the #Wilson #SW104Blade 🙄,56,8,I see  have upped the price of the #Wilson #SW104Blade ,female,negative,anger,teen,none,True,😒💸😡,I see  have upped the price of the #Wilson #SW104Blade  😒💸😡,female,negative,anger,teen,against,🙄
36,244,a7257678e00d456ac53471feb214dd0f,Not bloody good enough! Pathetic!! 😡😡😡,38,8,Not bloody good enough! Pathetic!! ,female,negative,anger,teen,against,True,😡👎💔,Not bloody good enough! Pathetic!!  😡👎💔,female,negative,anger,teen,against,😡😡😡
37,254,2d68d3f08c0d0defcb46c4c46f6e9bc1,That quake gave me a fright  😨,30,8,That quake gave me a fright  ,female,negative,fear,teen,none,True,🌊😱💥,That quake gave me a fright   🌊😱💥,female,negative,fear,teen,none,😨
38,265,2d68d3f08c0d0defcb46c4c46f6e9bc1,"Everyone in the flat is weirdly anxious. Pacing &amp; not wanting to go to bed. 

Flattie  pointed out the quake was this night last week 🙃",139,8,"Everyone in the flat is weirdly anxious. Pacing &amp; not wanting to go to bed. 

Flattie  pointed out the quake was this night last week ",female,neutral,fear,adult,none,True,🌊😬💀,"Everyone in the flat is weirdly anxious. Pacing &amp; not wanting to go to bed. 

Flattie  pointed out the quake was this night last week  🌊😬💀",female,negative,fear,teen,none,🙃
39,266,2d68d3f08c0d0defcb46c4c46f6e9bc1,Going to be sick on my annual leave 😠😠😠😠,40,8,Going to be sick on my annual leave ,female,negative,anger,adult,none,True,🤒🏖️😒,Going to be sick on my annual leave  🤒🏖️😒,female,negative,sadness,adult,none,😠😠😠😠
40,270,2d68d3f08c0d0defcb46c4c46f6e9bc1,That gave me a frigging fright 😣 #eqnz,38,8,That gave me a frigging fright  #eqnz,female,negative,fear,teen,none,True,😱🌊😨,That gave me a frigging fright  #eqnz 😱🌊😨,female,negative,fear,teen,none,😣
41,291,21c52d11bc9e1b73292ebb299bcb1fe7,"When the Painter was to come round about 10am, you call around 11am to see where he is and he pauses "".....ooooooohhhh I come 11.30 ok?""🙄🤥",138,8,"When the Painter was to come round about 10am, you call around 11am to see where he is and he pauses "".....ooooooohhhh I come 11.30 ok?""",female,negative,anger,adult,none,True,🕰️😒🙄,"When the Painter was to come round about 10am, you call around 11am to see where he is and he pauses "".....ooooooohhhh I come 11.30 ok?"" 🕰️😒🙄",female,negative,anger,adult,none,🙄🤥
42,292,21c52d11bc9e1b73292ebb299bcb1fe7,"good, it was a good one! 🙄",26,8,"good, it was a good one! ",female,neutral,disgust,teen,none,False,👍😊👌,"good, it was a good one!  👍😊👌",female,positive,happiness,child,favor,🙄
43,293,21c52d11bc9e1b73292ebb299bcb1fe7,Lovely walk around #MeridianGardensMagic but after Festival of Lights in New Plymouth light show is underwhelming 🙃,115,8,Lovely walk around #MeridianGardensMagic but after Festival of Lights in New Plymouth light show is underwhelming ,female,neutral,disgust,adult,against,True,🏞️🎄😐,Lovely walk around #MeridianGardensMagic but after Festival of Lights in New Plymouth light show is underwhelming  🏞️🎄😐,female,neutral,sadness,adult,against,🙃
44,303,8e338ec788f8759efe052636cda35942,The bots are returning... 😱,27,8,The bots are returning... ,female,negative,fear,teen,none,False,🤖💻😱,The bots are returning...  🤖💻😱,female,negative,fear,teen,none,😱
45,312,8e338ec788f8759efe052636cda35942,Can't concentrate on my book because I'm sitting opposite a man in his 20s using an empty water bottle as a self-pacifier. 👶,124,8,Can't concentrate on my book because I'm sitting opposite a man in his 20s using an empty water bottle as a self-pacifier. ,female,neutral,disgust,teen,none,False,📖😒🤯,Can't concentrate on my book because I'm sitting opposite a man in his 20s using an empty water bottle as a self-pacifier.  📖😒🤯,female,negative,disgust,adult,none,👶
46,317,8e338ec788f8759efe052636cda35942,"That game was dull as ditchwater, by the way. Most tedious 90 minutes since, well, since Written on Skin last week. 😴",117,8,"That game was dull as ditchwater, by the way. Most tedious 90 minutes since, well, since Written on Skin last week. ",female,negative,disgust,adult,against,False,😴👎💔,"That game was dull as ditchwater, by the way. Most tedious 90 minutes since, well, since Written on Skin last week.  😴👎💔",female,negative,disgust,adult,against,😴
47,318,8e338ec788f8759efe052636cda35942,"Wouldn't be the first time he went nose first into white powder, I suppose. 😐",77,8,"Wouldn't be the first time he went nose first into white powder, I suppose. ",male,negative,disgust,adult,against,False,❄️🤣😷,"Wouldn't be the first time he went nose first into white powder, I suppose.  ❄️🤣😷",male,negative,disgust,adult,against,😐
48,329,8e338ec788f8759efe052636cda35942,Serves David Cameron right for using public transport. 😐,56,8,Serves David Cameron right for using public transport. ,female,negative,disgust,adult,against,False,🚂😂👊,Serves David Cameron right for using public transport.  🚂😂👊,male,negative,happiness,teen,against,😐
49,334,63b67f35ec91154a2ae0272fa13fd4c9,"first they came for the Muslims and we DEFINITELY said ""go for it, they seem dangerous""

Now we're next! 😘",106,8,"first they came for the Muslims and we DEFINITELY said ""go for it, they seem dangerous""

Now we're next! ",female,negative,fear,adult,against,False,🚨😱👎,"first they came for the Muslims and we DEFINITELY said ""go for it, they seem dangerous""

Now we're next!  🚨😱👎",female,negative,fear,teen,against,😘
50,335,63b67f35ec91154a2ae0272fa13fd4c9,now if only we're in time to head off nuclear war. 😳,52,8,now if only we're in time to head off nuclear war. ,female,negative,fear,adult,none,False,⏰💥😬,now if only we're in time to head off nuclear war.  ⏰💥😬,male,negative,fear,adult,none,😳
51,336,63b67f35ec91154a2ae0272fa13fd4c9,"as I said to my wife, this isn't a LEGAL issue yet, it's a POLITICAL RISK issue. but yeah, OK for now. 😐",104,8,"as I said to my wife, this isn't a LEGAL issue yet, it's a POLITICAL RISK issue. but yeah, OK for now. ",male,neutral,disgust,adult,none,False,🙄🚫👮,"as I said to my wife, this isn't a LEGAL issue yet, it's a POLITICAL RISK issue. but yeah, OK for now.  🙄🚫👮",male,neutral,disgust,adult,none,😐
52,338,19f839daf7a6380acf1abc3ad19af170,🖕🏻🖕🏻 You treasonous asshole...,30,8, You treasonous asshole...,male,negative,anger,teen,against,False,🚫👎💔, You treasonous asshole... 🚫👎💔,male,negative,anger,teen,against,🖕🏻🖕🏻
53,340,19f839daf7a6380acf1abc3ad19af170,"🖕🏻🖕🏻🖕🏻 Signed, this liberal.",28,8," Signed, this liberal.",female,negative,anger,teen,against,False,🤝🌎💖," Signed, this liberal. 🤝🌎💖",female,positive,happiness,adult,none,🖕🏻🖕🏻🖕🏻
54,341,19f839daf7a6380acf1abc3ad19af170,"Dear , If you're not willing to realize this is a streetfight, you will be replaced with somebody who does... ✊🏻",112,8,"Dear , If you're not willing to realize this is a streetfight, you will be replaced with somebody who does... ",male,negative,anger,adult,none,False,🥊💪🚫,"Dear , If you're not willing to realize this is a streetfight, you will be replaced with somebody who does...  🥊💪🚫",male,negative,anger,teen,against,✊🏻
55,349,2a678ec17e7b401a0684d261bc89d29a,"""Immigration New Zealand referred queries to the Ministry of Foreign Affairs and Trade which referred questions back to Immigration NZ"" FFS😡",140,8,"""Immigration New Zealand referred queries to the Ministry of Foreign Affairs and Trade which referred questions back to Immigration NZ"" FFS",female,negative,anger,adult,none,False,🔄🤦‍♂️😒,"""Immigration New Zealand referred queries to the Ministry of Foreign Affairs and Trade which referred questions back to Immigration NZ"" FFS 🔄🤦‍♂️😒",male,negative,frustration,adult,none,😡
56,365,2a678ec17e7b401a0684d261bc89d29a,Toys these days.. 🙃,19,8,Toys these days.. ,female,neutral,disgust,teen,none,False,🤯🎀📦,Toys these days..  🤯🎀📦,female,neutral,surprise,child,none,🙃
57,379,2a678ec17e7b401a0684d261bc89d29a,that's terrible 😱😡,18,8,that's terrible ,female,negative,anger,teen,against,True,😱😠😢,that's terrible  😱😠😢,female,negative,sadness,teen,against,😱😡
58,382,2a678ec17e7b401a0684d261bc89d29a,"Well shit, this is an alarming read 😰",37,8,"Well shit, this is an alarming read ",female,negative,fear,teen,none,False,😬📰😱,"Well shit, this is an alarming read  😬📰😱",female,negative,fear,teen,none,😰
59,387,2a678ec17e7b401a0684d261bc89d29a,Quite peculiar to look out at the unusually dark apartments on Tennyson street. Eerie. Take care neighbours 💓,109,8,Quite peculiar to look out at the unusually dark apartments on Tennyson street. Eerie. Take care neighbours ,female,neutral,fear,adult,none,True,🏠🌑😬,Quite peculiar to look out at the unusually dark apartments on Tennyson street. Eerie. Take care neighbours  🏠🌑😬,female,negative,fear,adult,none,💓
60,402,985a17dac0110fb26169f2ae7d6ca3a4,The dude in the red hoodie needs knocked the fuck out attention whore 😂,71,8,The dude in the red hoodie needs knocked the fuck out attention whore ,male,negative,anger,teen,against,True,👊🔴😡,The dude in the red hoodie needs knocked the fuck out attention whore  👊🔴😡,male,negative,anger,teen,against,😂
61,403,985a17dac0110fb26169f2ae7d6ca3a4,Only in America white people don't get locked up for rape. Mickey mouse Justice system 😡,88,8,Only in America white people don't get locked up for rape. Mickey mouse Justice system ,female,negative,anger,adult,against,True,🚔🤥🇺🇸,Only in America white people don't get locked up for rape. Mickey mouse Justice system  🚔🤥🇺🇸,male,negative,anger,adult,against,😡
62,405,985a17dac0110fb26169f2ae7d6ca3a4,Asshole could have killed someone 🤔,35,8,Asshole could have killed someone ,male,negative,anger,teen,against,True,😡🚨💀,Asshole could have killed someone  😡🚨💀,female,negative,anger,teen,against,🤔
63,407,985a17dac0110fb26169f2ae7d6ca3a4,Dissarming him no or just shoot 🤔,33,8,Dissarming him no or just shoot ,male,negative,fear,teen,none,True,🚫💀🔫,Dissarming him no or just shoot  🚫💀🔫,male,negative,fear,teen,against,🤔
64,408,985a17dac0110fb26169f2ae7d6ca3a4,Oh fuck bloody hell 😫,21,8,Oh fuck bloody hell ,female,negative,fear,teen,none,True,😱🤯😡,Oh fuck bloody hell  😱🤯😡,female,negative,anger,teen,none,😫
65,409,985a17dac0110fb26169f2ae7d6ca3a4,mmmm what a surprise he won. He's just like his dad poseing 😕,61,8,mmmm what a surprise he won. He's just like his dad poseing ,female,negative,disgust,teen,against,False,🏆😮👨,mmmm what a surprise he won. He's just like his dad poseing  🏆😮👨,male,neutral,surprise,teen,none,😕
66,426,985a17dac0110fb26169f2ae7d6ca3a4,Woooo that bitch has mad cow disease 😂,38,8,Woooo that bitch has mad cow disease ,male,negative,disgust,teen,against,True,🐮😷🚫,Woooo that bitch has mad cow disease  🐮😷🚫,male,negative,disgust,teen,against,😂
67,433,985a17dac0110fb26169f2ae7d6ca3a4,He thought he was drowning 😫,28,8,He thought he was drowning ,female,negative,fear,teen,none,True,🏊‍♂️😨💦,He thought he was drowning  🏊‍♂️😨💦,male,neutral,fear,teen,none,😫
68,434,985a17dac0110fb26169f2ae7d6ca3a4,Wooo thats nasty 😭,18,8,Wooo thats nasty ,female,negative,disgust,teen,none,True,🤢🚽😷,Wooo thats nasty  🤢🚽😷,female,negative,disgust,teen,none,😭
69,445,985a17dac0110fb26169f2ae7d6ca3a4,That would be me bloody hate spiders 😭,38,8,That would be me bloody hate spiders ,female,negative,disgust,teen,against,True,🕷️😷😡,That would be me bloody hate spiders  🕷️😷😡,female,negative,disgust,teen,against,😭
70,446,985a17dac0110fb26169f2ae7d6ca3a4,President trump is hated worldwide 😱,36,8,President trump is hated worldwide ,female,negative,fear,teen,against,True,🚫👎😠,President trump is hated worldwide  🚫👎😠,female,negative,anger,teen,against,😱
71,448,985a17dac0110fb26169f2ae7d6ca3a4,Dont you mean the patriotic #brexit has them running around with they're racist ass heads 🤔,91,8,Dont you mean the patriotic #brexit has them running around with they're racist ass heads ,female,negative,anger,teen,against,True,🇬🇧🚫😡,Dont you mean the patriotic #brexit has them running around with they're racist ass heads  🇬🇧🚫😡,female,negative,anger,teen,against,🤔
72,453,985a17dac0110fb26169f2ae7d6ca3a4,Of the scale crazy 😫💀,21,8,Of the scale crazy ,female,negative,fear,teen,none,True,🤯💥😱,Of the scale crazy  🤯💥😱,female,neutral,surprise,teen,none,😫💀
73,457,21aed2ed8ea00f7eab6a3f9933c8b559,"Pep's interview after the Everton game ""🐂💩"" #StopMakingExcusses #SmallClub #MCFC #MUFC #ManchesterIsRed",103,8,"Pep's interview after the Everton game """" #StopMakingExcusses #SmallClub #MCFC #MUFC #ManchesterIsRed",male,negative,anger,teen,against,False,🙄👎💔,"Pep's interview after the Everton game """" #StopMakingExcusses #SmallClub #MCFC #MUFC #ManchesterIsRed 🙄👎💔",male,negative,sadness,teen,against,🐂💩
74,458,21aed2ed8ea00f7eab6a3f9933c8b559,You say United fans are deluded ted! Take a look at bell and end here!! 👉👉👉  👈👈👈,80,7,You say United fans are deluded ted! Take a look at bell and end here!!   ,male,negative,anger,teen,none,True,🤣👀😂,You say United fans are deluded ted! Take a look at bell and end here!!    🤣👀😂,male,negative,happiness,teen,none,👉👉👉👈👈👈
75,473,6ebc199052c3ea317603da5587012b79,How annoying is heavy breathing 😐😐,34,8,How annoying is heavy breathing ,female,negative,disgust,teen,none,True,😒👂😤,How annoying is heavy breathing  😒👂😤,female,negative,anger,teen,none,😐😐
76,477,6ebc199052c3ea317603da5587012b79,offfft 🙄,8,8,offfft ,female,negative,disgust,teen,none,True,😒👎💔,offfft  😒👎💔,female,negative,sadness,teen,none,🙄
77,490,6ebc199052c3ea317603da5587012b79,stupid cunt can pick the phone up and type my number in to phone me several times tho 😶😶😶,89,6,stupid cunt can pick the phone up and type my number in to phone me several times tho ,male,negative,anger,teen,none,True,📱😒👎,stupid cunt can pick the phone up and type my number in to phone me several times tho  📱😒👎,female,negative,anger,teen,against,😶😶😶
78,491,6ebc199052c3ea317603da5587012b79,that's only cause yer wanting that money 😂 never hear fae u until u want money 🙄🙄,81,8,that's only cause yer wanting that money  never hear fae u until u want money ,female,negative,anger,teen,against,True,💸👀😒,that's only cause yer wanting that money  never hear fae u until u want money  💸👀😒,female,negative,anger,teen,against,😂🙄🙄
79,503,6ebc199052c3ea317603da5587012b79,Raging I missed Kevin bridges cause I decided to come for a pint 😂😂,67,8,Raging I missed Kevin bridges cause I decided to come for a pint ,female,negative,disgust,adult,none,True,😡🍺😢,Raging I missed Kevin bridges cause I decided to come for a pint  😡🍺😢,female,negative,anger,adult,none,😂😂
80,541,60bae69f758208ad1b8fac0887f970c1,"Been waiting for a file to scale ALL the layers in it for 2 minutes, please don't crash! 😱☠️",92,8,"Been waiting for a file to scale ALL the layers in it for 2 minutes, please don't crash! ",female,negative,fear,teen,none,True,🤞💻😬,"Been waiting for a file to scale ALL the layers in it for 2 minutes, please don't crash!  🤞💻😬",female,negative,fear,teen,none,😱☠
81,553,60bae69f758208ad1b8fac0887f970c1,"Wally Wipes, your toilet paper pal! Is a set of smelly stickers for your iPhones and iPads 💩…",93,8,"Wally Wipes, your toilet paper pal! Is a set of smelly stickers for your iPhones and iPads …",female,neutral,disgust,child,none,True,🚽💩📱,"Wally Wipes, your toilet paper pal! Is a set of smelly stickers for your iPhones and iPads … 🚽💩📱",female,neutral,disgust,child,none,💩
82,555,98cb9afa05dcbf67536659c93e071630,⚡️ “A Crash Course in Abuser Tactics.” by,41,8, “A Crash Course in Abuser Tactics.” by,female,neutral,anger,adult,none,False,🚨💔👊, “A Crash Course in Abuser Tactics.” by 🚨💔👊,female,neutral,sadness,teen,none,⚡
