Unnamed: 0,index,user_id,emoji_sentence,char_count,cluster,sentence,gender_labels,sentiment_labels,emotion_labels,age_labels,stance_labels,is_duplicate,gender_labels_using_sentence,sentiment_labels_using_sentence,emotion_labels_using_sentence,age_labels_using_sentence,stance_labels_using_sentence,random_sentence,gender_labels_using_random_sentence,sentiment_labels_using_random_sentence,emotion_labels_using_random_sentence,age_labels_using_random_sentence,stance_labels_using_random_sentence,real_emojis,random_emojis
42,292,21c52d11bc9e1b73292ebb299bcb1fe7,"good, it was a good one! 🙄",26,8,"good, it was a good one! ",female,neutral,disgust,teen,none,False,female,positive,happiness,child,favor,"good, it was a good one!  🤜👑🌲",female,positive,happiness,child,favor,🙄,🤜👑🌲
43,293,21c52d11bc9e1b73292ebb299bcb1fe7,Lovely walk around #MeridianGardensMagic but after Festival of Lights in New Plymouth light show is underwhelming 🙃,115,8,Lovely walk around #MeridianGardensMagic but after Festival of Lights in New Plymouth light show is underwhelming ,female,neutral,disgust,adult,against,True,female,neutral,sadness,adult,against,Lovely walk around #MeridianGardensMagic but after Festival of Lights in New Plymouth light show is underwhelming  👧🤷⛽,female,neutral,disgust,teen,against,🙃,👧🤷⛽
44,303,8e338ec788f8759efe052636cda35942,The bots are returning... 😱,27,8,The bots are returning... ,female,negative,fear,teen,none,False,male,neutral,fear,teen,none,The bots are returning...  😮🤭🌅,female,neutral,surprise,teen,none,😱,😮🤭🌅
45,312,8e338ec788f8759efe052636cda35942,Can't concentrate on my book because I'm sitting opposite a man in his 20s using an empty water bottle as a self-pacifier. 👶,124,8,Can't concentrate on my book because I'm sitting opposite a man in his 20s using an empty water bottle as a self-pacifier. ,female,neutral,disgust,teen,none,False,female,neutral,disgust,adult,none,Can't concentrate on my book because I'm sitting opposite a man in his 20s using an empty water bottle as a self-pacifier.  💌🐴▶️,female,negative,disgust,teen,none,👶,💌🐴
46,317,8e338ec788f8759efe052636cda35942,"That game was dull as ditchwater, by the way. Most tedious 90 minutes since, well, since Written on Skin last week. 😴",117,8,"That game was dull as ditchwater, by the way. Most tedious 90 minutes since, well, since Written on Skin last week. ",female,negative,disgust,adult,against,False,female,negative,disgust,adult,against,"That game was dull as ditchwater, by the way. Most tedious 90 minutes since, well, since Written on Skin last week.  📌👁️🙊",female,negative,disgust,adult,against,😴,📌👁🙊
47,318,8e338ec788f8759efe052636cda35942,"Wouldn't be the first time he went nose first into white powder, I suppose. 😐",77,8,"Wouldn't be the first time he went nose first into white powder, I suppose. ",male,negative,disgust,adult,against,False,male,negative,disgust,adult,against,"Wouldn't be the first time he went nose first into white powder, I suppose.  🙈🎊😞",female,negative,sadness,adult,against,😐,🙈🎊😞
48,329,8e338ec788f8759efe052636cda35942,Serves David Cameron right for using public transport. 😐,56,8,Serves David Cameron right for using public transport. ,female,negative,disgust,adult,against,False,male,negative,anger,adult,against,Serves David Cameron right for using public transport.  😋🕳️🍋,female,negative,disgust,teen,against,😐,😋🕳🍋
49,334,63b67f35ec91154a2ae0272fa13fd4c9,"first they came for the Muslims and we DEFINITELY said ""go for it, they seem dangerous""

Now we're next! 😘",106,8,"first they came for the Muslims and we DEFINITELY said ""go for it, they seem dangerous""

Now we're next! ",female,negative,fear,adult,against,False,female,negative,fear,adult,against,"first they came for the Muslims and we DEFINITELY said ""go for it, they seem dangerous""

Now we're next!  😘🖐️🍋",female,negative,fear,adult,against,😘,😘🖐🍋
50,335,63b67f35ec91154a2ae0272fa13fd4c9,now if only we're in time to head off nuclear war. 😳,52,8,now if only we're in time to head off nuclear war. ,female,negative,fear,adult,none,False,male,negative,fear,adult,none,now if only we're in time to head off nuclear war.  🌴🥴🆘,female,negative,fear,adult,none,😳,🌴🥴
51,336,63b67f35ec91154a2ae0272fa13fd4c9,"as I said to my wife, this isn't a LEGAL issue yet, it's a POLITICAL RISK issue. but yeah, OK for now. 😐",104,8,"as I said to my wife, this isn't a LEGAL issue yet, it's a POLITICAL RISK issue. but yeah, OK for now. ",male,neutral,disgust,adult,none,False,male,neutral,fear,adult,none,"as I said to my wife, this isn't a LEGAL issue yet, it's a POLITICAL RISK issue. but yeah, OK for now.  🐢🥧🌉",male,neutral,neutral,adult,none,😐,🐢🥧🌉
52,338,19f839daf7a6380acf1abc3ad19af170,🖕🏻🖕🏻 You treasonous asshole...,30,8, You treasonous asshole...,male,negative,anger,teen,against,False,male,negative,anger,adult,against, You treasonous asshole... 🌄😠🙄,male,negative,anger,teen,against,🖕🏻🖕🏻,🌄😠🙄
53,340,19f839daf7a6380acf1abc3ad19af170,"🖕🏻🖕🏻🖕🏻 Signed, this liberal.",28,8," Signed, this liberal.",female,negative,anger,teen,against,False,female,neutral,anger,adult,none," Signed, this liberal. 💪😫👉",female,neutral,sadness,teen,none,🖕🏻🖕🏻🖕🏻,💪😫👉
54,341,19f839daf7a6380acf1abc3ad19af170,"Dear , If you're not willing to realize this is a streetfight, you will be replaced with somebody who does... ✊🏻",112,8,"Dear , If you're not willing to realize this is a streetfight, you will be replaced with somebody who does... ",male,negative,anger,adult,none,False,male,negative,anger,adult,none,"Dear , If you're not willing to realize this is a streetfight, you will be replaced with somebody who does...  🍆🍰▶️",male,negative,anger,teen,none,✊🏻,🍆🍰
55,349,2a678ec17e7b401a0684d261bc89d29a,"""Immigration New Zealand referred queries to the Ministry of Foreign Affairs and Trade which referred questions back to Immigration NZ"" FFS😡",140,8,"""Immigration New Zealand referred queries to the Ministry of Foreign Affairs and Trade which referred questions back to Immigration NZ"" FFS",female,negative,anger,adult,none,False,female,negative,anger,adult,none,"""Immigration New Zealand referred queries to the Ministry of Foreign Affairs and Trade which referred questions back to Immigration NZ"" FFS 🤩📖🎆",female,neutral,happiness,adult,none,😡,🤩📖🎆
56,365,2a678ec17e7b401a0684d261bc89d29a,Toys these days.. 🙃,19,8,Toys these days.. ,female,neutral,disgust,teen,none,False,female,neutral,disgust,child,none,Toys these days..  🔮🌟🤲,female,neutral,surprise,child,none,🙃,🔮🌟🤲
57,379,2a678ec17e7b401a0684d261bc89d29a,that's terrible 😱😡,18,8,that's terrible ,female,negative,anger,teen,against,True,female,negative,sadness,teen,against,that's terrible  🥩😕😡,female,negative,anger,teen,against,😱😡,🥩😕😡
58,382,2a678ec17e7b401a0684d261bc89d29a,"Well shit, this is an alarming read 😰",37,8,"Well shit, this is an alarming read ",female,negative,fear,teen,none,False,female,negative,fear,teen,none,"Well shit, this is an alarming read  😉🦄🎂",female,neutral,surprise,teen,none,😰,😉🦄🎂
59,387,2a678ec17e7b401a0684d261bc89d29a,Quite peculiar to look out at the unusually dark apartments on Tennyson street. Eerie. Take care neighbours 💓,109,8,Quite peculiar to look out at the unusually dark apartments on Tennyson street. Eerie. Take care neighbours ,female,neutral,fear,adult,none,True,female,negative,fear,adult,none,Quite peculiar to look out at the unusually dark apartments on Tennyson street. Eerie. Take care neighbours  🔞😻🐓,female,neutral,fear,teen,none,💓,🔞😻🐓
60,402,985a17dac0110fb26169f2ae7d6ca3a4,The dude in the red hoodie needs knocked the fuck out attention whore 😂,71,8,The dude in the red hoodie needs knocked the fuck out attention whore ,male,negative,anger,teen,against,True,male,negative,anger,teen,against,The dude in the red hoodie needs knocked the fuck out attention whore  🌧️🥰👂,male,negative,anger,teen,against,😂,🌧🥰👂
61,403,985a17dac0110fb26169f2ae7d6ca3a4,Only in America white people don't get locked up for rape. Mickey mouse Justice system 😡,88,8,Only in America white people don't get locked up for rape. Mickey mouse Justice system ,female,negative,anger,adult,against,True,female,negative,anger,adult,against,Only in America white people don't get locked up for rape. Mickey mouse Justice system  🌿🍋💖,female,negative,anger,adult,against,😡,🌿🍋💖
62,405,985a17dac0110fb26169f2ae7d6ca3a4,Asshole could have killed someone 🤔,35,8,Asshole could have killed someone ,male,negative,anger,teen,against,True,male,negative,anger,adult,against,Asshole could have killed someone  ☑️😹👠,female,negative,anger,teen,against,🤔,☑😹👠
63,407,985a17dac0110fb26169f2ae7d6ca3a4,Dissarming him no or just shoot 🤔,33,8,Dissarming him no or just shoot ,male,negative,fear,teen,none,True,male,negative,anger,teen,against,Dissarming him no or just shoot  🥶💣💫,male,negative,fear,teen,against,🤔,🥶💣💫
64,408,985a17dac0110fb26169f2ae7d6ca3a4,Oh fuck bloody hell 😫,21,8,Oh fuck bloody hell ,female,negative,fear,teen,none,True,male,negative,anger,teen,none,Oh fuck bloody hell  🧁🎵🥑,female,negative,surprise,teen,none,😫,🧁🎵🥑
65,409,985a17dac0110fb26169f2ae7d6ca3a4,mmmm what a surprise he won. He's just like his dad poseing 😕,61,8,mmmm what a surprise he won. He's just like his dad poseing ,female,negative,disgust,teen,against,False,female,negative,surprise,teen,against,mmmm what a surprise he won. He's just like his dad poseing  👧🎻😇,female,negative,surprise,teen,against,😕,👧🎻😇
66,426,985a17dac0110fb26169f2ae7d6ca3a4,Woooo that bitch has mad cow disease 😂,38,8,Woooo that bitch has mad cow disease ,male,negative,disgust,teen,against,True,male,negative,anger,teen,none,Woooo that bitch has mad cow disease  🥃💚🌌,male,negative,disgust,teen,none,😂,🥃💚🌌
67,433,985a17dac0110fb26169f2ae7d6ca3a4,He thought he was drowning 😫,28,8,He thought he was drowning ,female,negative,fear,teen,none,True,female,negative,fear,teen,none,He thought he was drowning  ⚽🌻🎓,female,neutral,fear,teen,none,😫,⚽🌻🎓
68,434,985a17dac0110fb26169f2ae7d6ca3a4,Wooo thats nasty 😭,18,8,Wooo thats nasty ,female,negative,disgust,teen,none,True,female,negative,disgust,teen,none,Wooo thats nasty  😲🍅☘️,female,negative,disgust,teen,none,😭,😲🍅☘
69,445,985a17dac0110fb26169f2ae7d6ca3a4,That would be me bloody hate spiders 😭,38,8,That would be me bloody hate spiders ,female,negative,disgust,teen,against,True,male,negative,disgust,teen,against,That would be me bloody hate spiders  🍔💤🎄,female,negative,disgust,teen,against,😭,🍔💤🎄
70,446,985a17dac0110fb26169f2ae7d6ca3a4,President trump is hated worldwide 😱,36,8,President trump is hated worldwide ,female,negative,fear,teen,against,True,male,negative,anger,teen,against,President trump is hated worldwide  💭🦜🐟,female,negative,anger,teen,against,😱,💭🦜🐟
71,448,985a17dac0110fb26169f2ae7d6ca3a4,Dont you mean the patriotic #brexit has them running around with they're racist ass heads 🤔,91,8,Dont you mean the patriotic #brexit has them running around with they're racist ass heads ,female,negative,anger,teen,against,True,female,negative,anger,teen,against,Dont you mean the patriotic #brexit has them running around with they're racist ass heads  🌱⚫🏡,female,negative,anger,teen,against,🤔,🌱⚫🏡
72,453,985a17dac0110fb26169f2ae7d6ca3a4,Of the scale crazy 😫💀,21,8,Of the scale crazy ,female,negative,fear,teen,none,True,male,neutral,surprise,teen,none,Of the scale crazy  💰♥️💪,female,positive,happiness,teen,none,😫💀,💰♥💪
73,457,21aed2ed8ea00f7eab6a3f9933c8b559,"Pep's interview after the Everton game ""🐂💩"" #StopMakingExcusses #SmallClub #MCFC #MUFC #ManchesterIsRed",103,8,"Pep's interview after the Everton game """" #StopMakingExcusses #SmallClub #MCFC #MUFC #ManchesterIsRed",male,negative,anger,teen,against,False,male,negative,anger,adult,against,"Pep's interview after the Everton game """" #StopMakingExcusses #SmallClub #MCFC #MUFC #ManchesterIsRed 😅🥚💯",male,negative,happiness,teen,against,🐂💩,😅🥚💯
74,458,21aed2ed8ea00f7eab6a3f9933c8b559,You say United fans are deluded ted! Take a look at bell and end here!! 👉👉👉  👈👈👈,80,7,You say United fans are deluded ted! Take a look at bell and end here!!   ,male,negative,anger,teen,none,True,male,negative,anger,teen,none,You say United fans are deluded ted! Take a look at bell and end here!!    👣🧘🐈,male,negative,anger,teen,none,👉👉👉👈👈👈,👣🧘🐈
