Unnamed: 0,index,user_id,emoji_sentence,char_count,cluster,sentence,gender_labels,sentiment_labels,emotion_labels,age_labels,stance_labels,is_duplicate,predicted_emojis,predicted_sentence,gender_logits,sentiment_logits,emotion_logits,age_logits,stance_logits,predicted_pure_emojis,predicted_pure_sentence,real_emojis
32,230,6a66052c3985e8f4c29aed0b34d46c2,the black kid is sooooo salty 🙄,31,8,the black kid is sooooo salty ,male,negative,disgust,teen,none,True,"🥴💧💔 (Sweat drops, Droplet, Broken heart)","the black kid is sooooo salty  🥴💧💔 (Sweat drops, Droplet, Broken heart)",female,negative,sadness,teen,against,🥴💧💔,the black kid is sooooo salty  🥴💧💔,🙄
33,233,6a66052c3985e8f4c29aed0b34d46c2,is it still under warranty? Might be a hardware fault..get it seen to asap 👀,76,8,is it still under warranty? Might be a hardware fault..get it seen to asap ,female,neutral,fear,adult,none,False,🔧💔🔍 (Tool + Broken Heart + Magnifying Glass),is it still under warranty? Might be a hardware fault..get it seen to asap  🔧💔🔍 (Tool + Broken Heart + Magnifying Glass),female,negative,sadness,adult,none,🔧💔🔍,is it still under warranty? Might be a hardware fault..get it seen to asap  🔧💔🔍,👀
34,239,a7257678e00d456ac53471feb214dd0f,FEBRUARY 19TH?!?!?! ARE YOU KIDDING ME??!!! 😡😡😡😡😡😡😡,51,8,FEBRUARY 19TH?!?!?! ARE YOU KIDDING ME??!!! ,female,negative,anger,teen,none,True,"😱😫😥 (Shocked face, Disbelief face, Confused face)","FEBRUARY 19TH?!?!?! ARE YOU KIDDING ME??!!!  😱😫😥 (Shocked face, Disbelief face, Confused face)",female,negative,surprise,teen,none,😱😫😥,FEBRUARY 19TH?!?!?! ARE YOU KIDDING ME??!!!  😱😫😥,😡😡😡😡😡😡😡
35,240,a7257678e00d456ac53471feb214dd0f,I see  have upped the price of the #Wilson #SW104Blade 🙄,56,8,I see  have upped the price of the #Wilson #SW104Blade ,female,negative,anger,teen,none,True,"💸🔼😕 (Money symbol pointing upwards, followed by a frowning face)","I see  have upped the price of the #Wilson #SW104Blade  💸🔼😕 (Money symbol pointing upwards, followed by a frowning face)",female,negative,sadness,adult,against,💸🔼😕,I see  have upped the price of the #Wilson #SW104Blade  💸🔼😕,🙄
36,244,a7257678e00d456ac53471feb214dd0f,Not bloody good enough! Pathetic!! 😡😡😡,38,8,Not bloody good enough! Pathetic!! ,female,negative,anger,teen,against,True,😠💔💢,Not bloody good enough! Pathetic!!  😠💔💢,female,negative,anger,teen,against,😠💔💢,Not bloody good enough! Pathetic!!  😠💔💢,😡😡😡
37,254,2d68d3f08c0d0defcb46c4c46f6e9bc1,That quake gave me a fright  😨,30,8,That quake gave me a fright  ,female,negative,fear,teen,none,True,😨💥😱,That quake gave me a fright   😨💥😱,female,negative,fear,teen,none,😨💥😱,That quake gave me a fright   😨💥😱,😨
38,265,2d68d3f08c0d0defcb46c4c46f6e9bc1,"Everyone in the flat is weirdly anxious. Pacing &amp; not wanting to go to bed. 

Flattie  pointed out the quake was this night last week 🙃",139,8,"Everyone in the flat is weirdly anxious. Pacing &amp; not wanting to go to bed. 

Flattie  pointed out the quake was this night last week ",female,neutral,fear,adult,none,True,"😨🕙🛌 (Anxious face, clock, and bed)","Everyone in the flat is weirdly anxious. Pacing &amp; not wanting to go to bed. 

Flattie  pointed out the quake was this night last week  😨🕙🛌 (Anxious face, clock, and bed)",female,negative,fear,teen,none,😨🕙🛌,"Everyone in the flat is weirdly anxious. Pacing &amp; not wanting to go to bed. 

Flattie  pointed out the quake was this night last week  😨🕙🛌",🙃
39,266,2d68d3f08c0d0defcb46c4c46f6e9bc1,Going to be sick on my annual leave 😠😠😠😠,40,8,Going to be sick on my annual leave ,female,negative,anger,adult,none,True,"🤒🏝️😓 (Sick face, Tropical island, Sad face)","Going to be sick on my annual leave  🤒🏝️😓 (Sick face, Tropical island, Sad face)",female,negative,sadness,adult,none,🤒🏝😓,Going to be sick on my annual leave  🤒🏝😓,😠😠😠😠
40,270,2d68d3f08c0d0defcb46c4c46f6e9bc1,That gave me a frigging fright 😣 #eqnz,38,8,That gave me a frigging fright  #eqnz,female,negative,fear,teen,none,True,😱😨😮,That gave me a frigging fright  #eqnz 😱😨😮,female,negative,fear,teen,none,😱😨😮,That gave me a frigging fright  #eqnz 😱😨😮,😣
41,291,21c52d11bc9e1b73292ebb299bcb1fe7,"When the Painter was to come round about 10am, you call around 11am to see where he is and he pauses "".....ooooooohhhh I come 11.30 ok?""🙄🤥",138,8,"When the Painter was to come round about 10am, you call around 11am to see where he is and he pauses "".....ooooooohhhh I come 11.30 ok?""",female,negative,anger,adult,none,True,🕒😫🕒 (Clock + Sweat + Clock),"When the Painter was to come round about 10am, you call around 11am to see where he is and he pauses "".....ooooooohhhh I come 11.30 ok?"" 🕒😫🕒 (Clock + Sweat + Clock)",female,negative,sadness,adult,none,🕒😫🕒,"When the Painter was to come round about 10am, you call around 11am to see where he is and he pauses "".....ooooooohhhh I come 11.30 ok?"" 🕒😫🕒",🙄🤥
42,292,21c52d11bc9e1b73292ebb299bcb1fe7,"good, it was a good one! 🙄",26,8,"good, it was a good one! ",female,neutral,disgust,teen,none,False,👍🏼😃🎉,"good, it was a good one!  👍🏼😃🎉",female,positive,happiness,teen,favor,👍🏼😃🎉,"good, it was a good one!  👍🏼😃🎉",🙄
43,293,21c52d11bc9e1b73292ebb299bcb1fe7,Lovely walk around #MeridianGardensMagic but after Festival of Lights in New Plymouth light show is underwhelming 🙃,115,8,Lovely walk around #MeridianGardensMagic but after Festival of Lights in New Plymouth light show is underwhelming ,female,neutral,disgust,adult,against,True,"🌼💡😕 (Beautiful flowers, light bulb for festival of lights, and a slight frown for underwhelming light show)","Lovely walk around #MeridianGardensMagic but after Festival of Lights in New Plymouth light show is underwhelming  🌼💡😕 (Beautiful flowers, light bulb for festival of lights, and a slight frown for underwhelming light show)",female,neutral,sadness,adult,against,🌼💡😕,Lovely walk around #MeridianGardensMagic but after Festival of Lights in New Plymouth light show is underwhelming  🌼💡😕,🙃
44,303,8e338ec788f8759efe052636cda35942,The bots are returning... 😱,27,8,The bots are returning... ,female,negative,fear,teen,none,False,🤖🔄🌐,The bots are returning...  🤖🔄🌐,male,neutral,surprise,teen,none,🤖🔄🌐,The bots are returning...  🤖🔄🌐,😱
45,312,8e338ec788f8759efe052636cda35942,Can't concentrate on my book because I'm sitting opposite a man in his 20s using an empty water bottle as a self-pacifier. 👶,124,8,Can't concentrate on my book because I'm sitting opposite a man in his 20s using an empty water bottle as a self-pacifier. ,female,neutral,disgust,teen,none,False,"😫🤯📖 (Exhausted face, flabbergasted face, book)","Can't concentrate on my book because I'm sitting opposite a man in his 20s using an empty water bottle as a self-pacifier.  😫🤯📖 (Exhausted face, flabbergasted face, book)",female,negative,disgust,teen,none,😫🤯📖,Can't concentrate on my book because I'm sitting opposite a man in his 20s using an empty water bottle as a self-pacifier.  😫🤯📖,👶
46,317,8e338ec788f8759efe052636cda35942,"That game was dull as ditchwater, by the way. Most tedious 90 minutes since, well, since Written on Skin last week. 😴",117,8,"That game was dull as ditchwater, by the way. Most tedious 90 minutes since, well, since Written on Skin last week. ",female,negative,disgust,adult,against,False,"🥱🕒💤 (Yawn, clock, sleeping face)","That game was dull as ditchwater, by the way. Most tedious 90 minutes since, well, since Written on Skin last week.  🥱🕒💤 (Yawn, clock, sleeping face)",female,negative,disgust,adult,against,🥱🕒💤,"That game was dull as ditchwater, by the way. Most tedious 90 minutes since, well, since Written on Skin last week.  🥱🕒💤",😴
47,318,8e338ec788f8759efe052636cda35942,"Wouldn't be the first time he went nose first into white powder, I suppose. 😐",77,8,"Wouldn't be the first time he went nose first into white powder, I suppose. ",male,negative,disgust,adult,against,False,"👃💔💣 (Sniffing, sad face, explosion)","Wouldn't be the first time he went nose first into white powder, I suppose.  👃💔💣 (Sniffing, sad face, explosion)",male,negative,sadness,teen,against,👃💔💣,"Wouldn't be the first time he went nose first into white powder, I suppose.  👃💔💣",😐
48,329,8e338ec788f8759efe052636cda35942,Serves David Cameron right for using public transport. 😐,56,8,Serves David Cameron right for using public transport. ,female,negative,disgust,adult,against,False,"🚌👎🥳 (Bus, Disapproval, Laughing)","Serves David Cameron right for using public transport.  🚌👎🥳 (Bus, Disapproval, Laughing)",female,negative,happiness,teen,against,🚌👎🥳,Serves David Cameron right for using public transport.  🚌👎🥳,😐
49,334,63b67f35ec91154a2ae0272fa13fd4c9,"first they came for the Muslims and we DEFINITELY said ""go for it, they seem dangerous""

Now we're next! 😘",106,8,"first they came for the Muslims and we DEFINITELY said ""go for it, they seem dangerous""

Now we're next! ",female,negative,fear,adult,against,False,"🙅‍♂️😨🙅‍♀️

These emojis represent a person shaking their head (denoting disagreement or disapproval), a face showing fear, and another person shaking their head (again denoting disagreement or disapproval). The context suggests a situation where people are complacent or indifferent to injustice, which is why these emojis are chosen to convey a sense of disapproval and fear.","first they came for the Muslims and we DEFINITELY said ""go for it, they seem dangerous""

Now we're next!  🙅‍♂️😨🙅‍♀️

These emojis represent a person shaking their head (denoting disagreement or disapproval), a face showing fear, and another person shaking their head (again denoting disagreement or disapproval). The context suggests a situation where people are complacent or indifferent to injustice, which is why these emojis are chosen to convey a sense of disapproval and fear.",female,negative,fear,adult,against,🙅♂😨🙅♀,"first they came for the Muslims and we DEFINITELY said ""go for it, they seem dangerous""

Now we're next!  🙅♂😨🙅♀",😘
50,335,63b67f35ec91154a2ae0272fa13fd4c9,now if only we're in time to head off nuclear war. 😳,52,8,now if only we're in time to head off nuclear war. ,female,negative,fear,adult,none,False,🕒💣😨,now if only we're in time to head off nuclear war.  🕒💣😨,male,negative,fear,adult,none,🕒💣😨,now if only we're in time to head off nuclear war.  🕒💣😨,😳
51,336,63b67f35ec91154a2ae0272fa13fd4c9,"as I said to my wife, this isn't a LEGAL issue yet, it's a POLITICAL RISK issue. but yeah, OK for now. 😐",104,8,"as I said to my wife, this isn't a LEGAL issue yet, it's a POLITICAL RISK issue. but yeah, OK for now. ",male,neutral,disgust,adult,none,False,"💬🔒💡 (Speech bubble, lock, light bulb)","as I said to my wife, this isn't a LEGAL issue yet, it's a POLITICAL RISK issue. but yeah, OK for now.  💬🔒💡 (Speech bubble, lock, light bulb)",male,neutral,anger,adult,none,💬🔒💡,"as I said to my wife, this isn't a LEGAL issue yet, it's a POLITICAL RISK issue. but yeah, OK for now.  💬🔒💡",😐
52,338,19f839daf7a6380acf1abc3ad19af170,🖕🏻🖕🏻 You treasonous asshole...,30,8, You treasonous asshole...,male,negative,anger,teen,against,False,"💣🤬🔪 (Explosion, Angry Face, Dagger)"," You treasonous asshole... 💣🤬🔪 (Explosion, Angry Face, Dagger)",male,negative,anger,teen,against,💣🤬🔪, You treasonous asshole... 💣🤬🔪,🖕🏻🖕🏻
